date,ticker,close,volume,pct_1d,pct_5d,sma20,rsi14,quality,action,recommendation
2026-08-19,AISP,2.06,268400,0.98,-0.483,1.9482,68.99,watch,WATCH,Watch
2026-08-19,NAGE,3.17,806600,3.595,3.595,3.174,48.15,watch,WATCH,Watch
2026-08-19,AREC,2.64,2186800,-1.493,-5.714,2.3025,73.68,watch,WATCH,Watch
2026-08-19,GORO,2.83,1106500,5.204,1.071,2.4015,76.92,watch,WATCH,Watch
2026-08-19,SPRO,1.23,479400,2.5,3.361,1.2098,53.85,watch,WATCH,Watch
2026-08-19,VFF,2.61,1060900,2.756,3.984,2.1972,82.74,watch,WATCH,Watch
2026-08-19,ALTO,4.19,1072500,-1.179,3.202,4.5115,46.5,watch,WATCH,Watch
2026-08-19,MDXG,4.45,1159600,2.535,3.972,4.266,61.22,watch,WATCH,Watch
2026-08-19,GDRX,3.54,3767300,-3.014,-1.393,3.3995,60.67,watch,WATCH,Watch
2026-08-19,ARKO,4.7,973000,-0.424,5.381,6.4035,16.67,watch,WATCH,Watch
2026-08-19,TBLA,3.86,1651600,0.783,-0.515,4.447,25.56,watch,WATCH,Watch
2026-08-19,HLLY,3.14,802500,1.618,-0.946,2.914,65.79,watch,WATCH,Watch
2026-08-19,CYH,2.92,1564000,-2.013,0.344,2.9005,63.64,watch,WATCH,Watch
2026-08-19,SABR,2.11,3288400,0.0,2.427,1.9932,64.42,watch,WATCH,Watch
2026-08-19,AMPY,4.79,712300,-0.622,9.112,4.2035,75.94,watch,WATCH,Watch
2026-08-19,ABUS,4.98,3428000,2.893,8.497,4.549,78.51,watch,WATCH,Watch
2026-08-20,VRRM,4.66,2614500,0.215,-3.119,4.844,34.63,watch,WATCH,Watch
2026-08-20,UWMC,1.42,10537000,-4.698,-12.883,1.6445,37.95,watch,WATCH,Watch
2026-08-20,TYGO,1.09,1090600,-4.386,-13.492,1.43,18.46,watch,WATCH,Watch
2026-08-20,SITC,3.02,569822,-0.33,0.0,3.4705,14.61,watch,WATCH,Watch
2026-08-20,AISP,2.03,158100,-1.456,4.639,1.9482,67.28,watch,WATCH,Watch
2026-08-20,NAGE,3.15,431900,-0.631,3.279,3.1735,39.5,watch,WATCH,Watch
2026-08-20,AREC,2.57,1830500,-2.652,-8.865,2.3425,72.41,watch,WATCH,Watch
2026-08-20,GORO,3.0,3564800,6.007,7.143,2.4125,81.08,watch,WATCH,Watch
2026-08-20,SPRO,1.21,557900,-1.626,-2.419,1.2123,55.26,watch,WATCH,Watch
2026-08-20,VFF,2.57,462800,-1.533,4.049,2.2247,83.51,watch,WATCH,Watch
2026-08-20,ALTO,4.18,1279700,-0.239,-0.476,4.456,35.78,watch,WATCH,Watch
2026-08-20,MDXG,4.3,1432600,-3.371,2.381,4.2645,56.91,watch,WATCH,Watch
2026-08-20,GDRX,3.56,2718300,0.565,-4.301,3.4365,65.81,watch,WATCH,Watch
2026-08-20,ARKO,4.59,1102400,-2.34,2.0,6.246,10.47,watch,WATCH,Watch
2026-08-20,TBLA,3.68,2231900,-4.663,-6.599,4.395,26.91,watch,WATCH,Watch
2026-08-20,HLLY,3.04,836600,-3.185,1.672,2.944,65.29,watch,WATCH,Watch
2026-08-20,CYH,2.98,1181500,2.055,0.337,2.889,62.67,watch,WATCH,Watch
2026-08-20,SABR,2.08,1966200,-1.422,-5.882,2.0192,61.17,watch,WATCH,Watch
2026-08-20,AMPY,4.91,556200,2.505,1.656,4.2415,78.41,watch,WATCH,Watch
2026-08-20,ABUS,4.77,1273700,-4.217,4.148,4.5605,66.93,watch,WATCH,Watch
2026-08-24,VRRM,4.47,2744700,-1.974,-2.826,4.8835,20.63,watch,WATCH,Watch
2026-08-24,UWMC,1.42,10211400,1.429,-4.698,1.602,33.12,watch,WATCH,Watch
2026-08-24,TYGO,1.05,363600,-3.67,-10.256,1.3685,9.09,watch,WATCH,Watch
2026-08-24,SITC,3.07,964424,0.0,3.367,3.337,43.06,watch,WATCH,Watch
2026-08-24,AISP,2.15,426300,0.0,6.436,1.9642,62.94,watch,WATCH,Watch
2026-08-24,NAGE,3.21,415700,0.0,5.592,3.1725,37.74,watch,WATCH,Watch
2026-08-24,AREC,2.51,1571200,-6.343,-14.915,2.427,63.48,watch,WATCH,Watch
2026-08-24,GORO,3.53,2205500,10.658,27.899,2.541,85.26,watch,WATCH,Watch
2026-08-24,SPRO,1.215,367300,-0.41,2.101,1.2155,47.46,watch,WATCH,Watch
2026-08-24,VFF,2.71,1115200,-0.368,5.039,2.2982,83.96,watch,WATCH,Watch
2026-08-24,ALTO,4.19,1446400,-4.338,-0.711,4.4275,21.05,watch,WATCH,Watch
2026-08-24,MDXG,4.27,846700,-1.386,1.909,4.2715,50.0,watch,WATCH,Watch
2026-08-24,GDRX,3.44,1120400,-0.29,-7.527,3.4805,53.57,watch,WATCH,Watch
2026-08-24,ARKO,4.72,609000,-0.632,-2.881,5.923,15.29,watch,WATCH,Watch
2026-08-24,TBLA,3.65,1501100,-2.145,-6.17,4.2755,19.96,watch,WATCH,Watch
